Score: 492, Time Played: 17.06 seconds, Date: 04/05/2025 16:36:22
Score: 197, Time Played: 1.95 seconds, Date: 04/05/2025 16:40:47
Score: 197, Time Played: 33.23 seconds, Date: 08/05/2025 12:37:58
Score: 197, Time Played: 93.32 seconds, Date: 08/05/2025 18:47:53
Score: 195, Time Played: 190.99 seconds, Date: 08/05/2025 18:55:03
Score: 195, Time Played: 22.72 seconds, Date: 08/05/2025 20:17:45
Score: 193, Time Played: 49.47 seconds, Date: 08/05/2025 20:20:18
Score: 193, Time Played: 70.18 seconds, Date: 08/05/2025 20:20:39
Score: 193, Time Played: 74.87 seconds, Date: 08/05/2025 20:20:43
Score: 0, Time Played: 1.28 seconds, Date: 04/05/2025 16:13:51
Score: 0, Time Played: 14.59 seconds, Date: 04/05/2025 16:14:08
Score: 0, Time Played: 4.89 seconds, Date: 04/05/2025 16:20:19
Score: 0, Time Played: 3.33 seconds, Date: 04/05/2025 16:20:24
Score: 0, Time Played: 17.74 seconds, Date: 04/05/2025 16:20:44
Score: 0, Time Played: 15.89 seconds, Date: 04/05/2025 16:21:01
Score: 0, Time Played: 3.34 seconds, Date: 04/05/2025 16:21:06
Score: 0, Time Played: 9.35 seconds, Date: 04/05/2025 16:28:47
Score: 0, Time Played: 5.65 seconds, Date: 04/05/2025 16:31:06
Score: 0, Time Played: 19.91 seconds, Date: 04/05/2025 16:31:27
Score: 0, Time Played: 0.01 seconds, Date: 04/05/2025 16:31:34
