Score: 680, Time Played: 3.56 seconds, Date: 29/05/2025 19:44:54
Score: 540, Time Played: 1.61 seconds, Date: 29/05/2025 19:46:30
Score: 280, Time Played: 7.20 seconds, Date: 29/05/2025 19:47:07
Score: 240, Time Played: 23.56 seconds, Date: 29/05/2025 19:36:23
Score: 200, Time Played: 2.08 seconds, Date: 29/05/2025 18:48:01
Score: 200, Time Played: 0.70 seconds, Date: 29/05/2025 18:59:43
Score: 160, Time Played: 16.60 seconds, Date: 29/05/2025 19:38:10
Score: 100, Time Played: 0.46 seconds, Date: 29/05/2025 18:59:42
Score: 100, Time Played: 0.46 seconds, Date: 29/05/2025 18:59:54
Score: 100, Time Played: 0.89 seconds, Date: 29/05/2025 19:00:02
Score: 100, Time Played: 8.80 seconds, Date: 29/05/2025 19:19:18
Score: 100, Time Played: 1.97 seconds, Date: 29/05/2025 19:19:20
Score: 100, Time Played: 0.72 seconds, Date: 29/05/2025 19:19:21
Score: 100, Time Played: 0.47 seconds, Date: 29/05/2025 19:23:21
Score: 100, Time Played: 0.65 seconds, Date: 29/05/2025 19:23:22
Score: 100, Time Played: 10.50 seconds, Date: 29/05/2025 22:24:33
Score: 100, Time Played: 1.07 seconds, Date: 29/05/2025 22:24:34
Score: 100, Time Played: 1.30 seconds, Date: 29/05/2025 22:24:36
Score: 100, Time Played: 0.45 seconds, Date: 29/05/2025 22:24:36
Score: 100, Time Played: 0.49 seconds, Date: 29/05/2025 22:24:37
